,idade,profissao,estado_civil,educacao,inadimplente,emprestimo_moradia,emprestimo_pessoal,meio_contato,mes,dia_da_semana,duracao,qtd_contatos_campanha,dias_ultimo_contato,qtd_contatos_total,campanha_anterior,indice_precos_consumidor,indice_confianca_consumidor,numero_empregados,resultado
84,38,3,2,1,1,1,2,2,1,1,20,1,999,0,1,93.994,-36.4,5191,1
85,31,1,3,2,1,1,1,2,1,1,246,1,999,0,1,93.994,-36.4,5191,1
86,41,5,1,6,1,1,1,2,1,1,529,2,999,0,1,93.994,-36.4,5191,1
87,39,1,1,1,1,2,2,2,1,1,192,1,999,0,1,93.994,-36.4,5191,1
88,49,3,1,3,1,1,1,2,1,1,1467,1,999,0,1,93.994,-36.4,5191,2
89,34,1,1,2,1,2,1,2,1,1,188,2,999,0,1,93.994,-36.4,5191,1
90,35,1,1,1,1,2,1,2,1,1,180,2,999,0,1,93.994,-36.4,5191,1
91,57,,1,,,2,1,2,1,1,48,1,999,0,1,93.994,-36.4,5191,1
92,60,1,1,,,1,2,2,1,1,213,2,999,0,1,93.994,-36.4,5191,1
93,33,10,1,3,1,1,1,2,1,1,545,1,999,0,1,93.994,-36.4,5191,1
94,42,2,1,6,1,1,2,2,1,1,583,1,999,0,1,93.994,-36.4,5191,1
95,45,4,1,4,1,2,1,2,1,1,221,1,999,0,1,93.994,-36.4,5191,1
96,42,5,1,1,1,1,1,2,1,1,426,1,999,0,1,93.994,-36.4,5191,1
97,53,1,3,1,,1,1,2,1,1,287,1,999,0,1,93.994,-36.4,5191,1
98,37,3,2,4,1,1,1,2,1,1,197,1,999,0,1,93.994,-36.4,5191,1
99,44,2,1,6,1,1,1,2,1,1,257,1,999,0,1,93.994,-36.4,5191,1
100,54,4,1,,1,2,1,2,1,1,229,1,999,0,1,93.994,-36.4,5191,1
101,49,2,1,5,1,1,1,2,1,1,55,3,999,0,1,93.994,-36.4,5191,1
102,54,4,1,,1,1,1,2,1,1,400,1,999,0,1,93.994,-36.4,5191,1
103,52,1,3,1,1,1,1,2,1,1,197,1,999,0,1,93.994,-36.4,5191,1
104,52,1,3,1,1,1,1,2,1,1,190,1,999,0,1,93.994,-36.4,5191,1
105,43,4,2,2,,1,1,2,1,1,21,1,999,0,1,93.994,-36.4,5191,1
106,34,9,1,6,1,2,1,2,1,1,300,2,999,0,1,93.994,-36.4,5191,1
107,35,1,1,2,1,2,1,2,1,1,123,2,999,0,1,93.994,-36.4,5191,1
108,42,7,1,,,2,1,2,1,1,293,1,999,0,1,93.994,-36.4,5191,1
109,43,3,1,,,2,2,2,1,1,325,1,999,0,1,93.994,-36.4,5191,1
110,60,6,3,1,,1,1,2,1,1,514,1,999,0,1,93.994,-36.4,5191,1
111,58,10,1,5,,1,1,2,1,1,849,2,999,0,1,93.994,-36.4,5191,1
112,35,4,3,2,1,2,1,2,1,1,194,1,999,0,1,93.994,-36.4,5191,1
113,55,2,1,3,,2,1,2,1,1,212,2,999,0,1,93.994,-36.4,5191,1
114,37,5,1,1,1,1,1,2,1,1,337,2,999,0,1,93.994,-36.4,5191,1
115,36,2,1,2,1,1,1,2,1,1,286,1,999,0,1,93.994,-36.4,5191,1
116,52,1,3,1,1,1,1,2,1,1,247,2,999,0,1,93.994,-36.4,5191,1
117,57,2,3,,,2,1,2,1,1,518,1,999,0,1,93.994,-36.4,5191,1
118,56,1,1,,1,2,1,2,1,1,364,1,999,0,1,93.994,-36.4,5191,1
119,48,2,3,5,,2,1,2,1,1,178,1,999,0,1,93.994,-36.4,5191,1
120,40,2,1,2,,2,1,2,1,1,98,1,999,0,1,93.994,-36.4,5191,1
121,49,2,3,2,1,1,1,2,1,1,439,1,999,0,1,93.994,-36.4,5191,1
122,41,4,1,2,1,1,1,2,1,1,139,1,999,0,1,93.994,-36.4,5191,1
123,45,3,1,2,1,2,1,2,1,1,79,1,999,0,1,93.994,-36.4,5191,1
124,32,1,1,1,1,2,2,2,1,1,175,1,999,0,1,93.994,-36.4,5191,1
125,42,1,1,1,1,1,2,2,1,1,262,2,999,0,1,93.994,-36.4,5191,1
126,50,1,1,6,1,1,1,2,1,1,61,1,999,0,1,93.994,-36.4,5191,1
127,31,3,3,4,1,2,2,2,1,1,78,1,999,0,1,93.994,-36.4,5191,1
128,56,6,1,5,1,2,1,2,1,1,102,2,999,0,1,93.994,-36.4,5191,1
129,41,3,1,4,,2,1,2,1,1,579,1,999,0,1,93.994,-36.4,5191,2
130,37,2,1,6,1,2,2,2,1,1,143,1,999,0,1,93.994,-36.4,5191,1
131,41,3,1,4,,1,1,2,1,1,677,1,999,0,1,93.994,-36.4,5191,1
132,35,2,1,,1,2,1,2,1,1,267,1,999,0,1,93.994,-36.4,5191,1
133,37,2,1,6,1,2,1,2,1,1,345,1,999,0,1,93.994,-36.4,5191,1
134,52,5,1,1,1,1,1,2,1,1,185,1,999,0,1,93.994,-36.4,5191,1
135,39,5,3,1,1,1,1,2,1,1,207,1,999,0,1,93.994,-36.4,5191,1
136,39,9,1,5,,1,1,2,1,1,69,2,999,0,1,93.994,-36.4,5191,1
137,56,2,1,5,,1,1,2,1,1,100,2,999,0,1,93.994,-36.4,5191,1
138,34,4,1,2,1,2,1,2,1,1,125,2,999,0,1,93.994,-36.4,5191,1
139,45,2,1,3,,2,1,2,1,1,461,1,999,0,1,93.994,-36.4,5191,2
140,43,10,2,1,1,2,1,2,1,1,240,1,999,0,1,93.994,-36.4,5191,1
141,56,5,1,,1,2,1,2,1,1,70,1,999,0,1,93.994,-36.4,5191,1
142,39,5,1,1,1,2,1,2,1,1,193,1,999,0,1,93.994,-36.4,5191,1
143,53,2,1,5,1,2,1,2,1,1,136,1,999,0,1,93.994,-36.4,5191,1
144,38,,3,2,,2,1,2,1,1,73,1,999,0,1,93.994,-36.4,5191,1
145,42,2,1,5,,2,1,2,1,1,528,1,999,0,1,93.994,-36.4,5191,1
146,42,2,1,5,,1,1,2,1,1,541,1,999,0,1,93.994,-36.4,5191,1
147,35,1,2,2,1,2,1,2,1,1,338,1,999,0,1,93.994,-36.4,5191,1
148,40,1,1,1,,2,1,2,1,1,163,1,999,0,1,93.994,-36.4,5191,1
149,51,2,1,5,1,2,1,2,1,1,87,1,999,0,1,93.994,-36.4,5191,1
150,60,2,1,3,,1,1,2,1,1,301,1,999,0,1,93.994,-36.4,5191,1
151,56,7,1,,,2,1,2,1,1,46,1,999,0,1,93.994,-36.4,5191,1
152,39,4,3,2,,2,1,2,1,1,52,1,999,0,1,93.994,-36.4,5191,1
153,56,7,1,,,1,1,2,1,1,204,1,999,0,1,93.994,-36.4,5191,1
154,40,2,1,,1,2,2,2,1,1,155,1,999,0,1,93.994,-36.4,5191,1
155,36,2,1,3,1,2,2,2,1,1,98,1,999,0,1,93.994,-36.4,5191,1
156,51,2,1,,,2,1,2,1,1,71,1,999,0,1,93.994,-36.4,5191,1
157,51,2,1,,,1,1,2,1,1,243,1,999,0,1,93.994,-36.4,5191,1
158,43,3,2,4,1,2,1,2,1,1,186,2,999,0,1,93.994,-36.4,5191,1
159,59,4,1,2,1,1,1,2,1,1,579,2,999,0,1,93.994,-36.4,5191,1
160,24,5,2,1,1,2,1,2,1,1,165,2,999,0,1,93.994,-36.4,5191,1
161,37,2,2,3,,2,2,2,1,1,163,2,999,0,1,93.994,-36.4,5191,1
162,40,2,1,3,,1,1,2,1,1,46,1,999,0,1,93.994,-36.4,5191,1
163,42,2,1,3,,1,1,2,1,1,559,3,999,0,1,93.994,-36.4,5191,1
164,39,4,3,2,,1,1,2,1,1,2033,1,999,0,1,93.994,-36.4,5191,1
165,37,7,1,6,1,1,1,2,1,1,85,1,999,0,1,93.994,-36.4,5191,1
166,38,4,1,2,1,2,2,2,1,1,506,1,999,0,1,93.994,-36.4,5191,1
167,56,1,3,,,1,1,2,1,1,114,2,999,0,1,93.994,-36.4,5191,1
168,40,2,1,,1,1,1,2,1,1,114,2,999,0,1,93.994,-36.4,5191,1
169,54,5,3,1,1,2,1,2,1,1,843,2,999,0,1,93.994,-36.4,5191,1
170,43,2,1,2,,1,2,2,1,1,181,1,999,0,1,93.994,-36.4,5191,1
171,36,4,1,2,,1,1,2,1,1,427,1,999,0,1,93.994,-36.4,5191,1
172,45,3,1,1,1,2,2,2,1,1,292,1,999,0,1,93.994,-36.4,5191,1
173,42,1,2,1,,1,1,2,1,1,192,1,999,0,1,93.994,-36.4,5191,1
174,43,4,1,2,1,1,1,2,1,1,93,3,999,0,1,93.994,-36.4,5191,1
175,46,5,1,3,1,1,1,2,1,1,128,2,999,0,1,93.994,-36.4,5191,1
176,44,4,1,2,1,2,2,2,1,1,107,1,999,0,1,93.994,-36.4,5191,1
177,51,1,2,6,1,1,1,2,1,1,303,2,999,0,1,93.994,-36.4,5191,1
178,28,4,1,2,1,2,1,2,1,1,81,1,999,0,1,93.994,-36.4,5191,1
179,37,2,1,3,1,1,1,2,1,1,270,1,999,0,1,93.994,-36.4,5191,1
180,34,3,1,2,1,1,1,2,1,1,228,1,999,0,1,93.994,-36.4,5191,1
181,46,2,1,6,,2,1,2,1,1,240,1,999,0,1,93.994,-36.4,5191,1
182,42,2,1,3,1,2,2,2,1,1,673,2,999,0,1,93.994,-36.4,5191,2
183,36,1,1,1,1,2,1,2,1,1,233,3,999,0,1,93.994,-36.4,5191,1
184,54,2,1,5,,1,1,2,1,1,102,1,999,0,1,93.994,-36.4,5191,1
185,57,5,1,1,1,1,1,2,1,1,461,1,999,0,1,93.994,-36.4,5191,1
186,51,3,1,6,,1,1,2,1,1,250,1,999,0,1,93.994,-36.4,5191,1
187,54,6,1,2,,1,1,2,1,1,130,1,999,0,1,93.994,-36.4,5191,1
188,49,2,1,5,,1,1,2,1,1,252,1,999,0,1,93.994,-36.4,5191,1
189,34,1,1,1,1,2,1,2,1,1,138,1,999,0,1,93.994,-36.4,5191,1
190,41,3,1,4,1,1,1,2,1,1,412,1,999,0,1,93.994,-36.4,5191,1
191,38,2,2,3,1,2,1,2,1,1,179,2,999,0,1,93.994,-36.4,5191,1
192,45,5,3,1,1,1,1,2,1,1,19,2,999,0,1,93.994,-36.4,5191,1
193,42,3,1,1,1,1,1,2,1,1,228,2,999,0,1,93.994,-36.4,5191,1
194,34,2,2,3,,2,1,2,1,1,55,1,999,0,1,93.994,-36.4,5191,1
195,48,2,1,5,1,2,1,2,1,1,717,1,999,0,1,93.994,-36.4,5191,1
196,37,1,1,2,,2,1,2,1,1,313,1,999,0,1,93.994,-36.4,5191,1
197,34,2,2,3,,1,1,2,1,1,289,1,999,0,1,93.994,-36.4,5191,1
198,40,1,1,3,,2,1,2,1,1,683,2,999,0,1,93.994,-36.4,5191,1
199,43,2,1,6,1,2,1,2,1,1,1077,1,999,0,1,93.994,-36.4,5191,1
200,33,4,1,2,1,1,1,2,1,1,146,2,999,0,1,93.994,-36.4,5191,1
201,32,4,2,6,1,1,1,2,1,1,167,1,999,0,1,93.994,-36.4,5191,1
202,39,2,1,2,1,2,1,2,1,1,356,2,999,0,1,93.994,-36.4,5191,1
203,43,1,1,,1,1,1,2,1,1,277,1,999,0,1,93.994,-36.4,5191,1
204,44,2,1,3,1,2,1,2,1,1,172,1,999,0,1,93.994,-36.4,5191,1
205,35,11,2,1,,1,1,2,1,1,218,1,999,0,1,93.994,-36.4,5191,1
206,35,11,2,1,,2,2,2,1,1,217,1,999,0,1,93.994,-36.4,5191,1
207,35,10,1,4,1,1,1,2,1,1,67,1,999,0,1,93.994,-36.4,5191,1
208,36,4,2,5,1,1,1,2,1,1,291,1,999,0,1,93.994,-36.4,5191,1
209,35,11,2,1,,2,1,2,1,1,248,1,999,0,1,93.994,-36.4,5191,1
210,36,11,2,3,1,2,1,2,1,1,256,1,999,0,1,93.994,-36.4,5191,1
211,55,9,3,1,1,1,1,2,1,1,286,1,999,0,1,93.994,-36.4,5191,1
212,59,1,1,1,1,1,1,2,1,1,477,1,999,0,1,93.994,-36.4,5191,1
213,57,6,1,,,1,1,2,1,1,611,2,999,0,1,93.994,-36.4,5191,1
214,39,2,1,4,,2,1,2,1,1,471,1,999,0,1,93.994,-36.4,5191,1
215,39,9,1,5,,2,1,2,1,1,381,2,999,0,1,93.994,-36.4,5191,1
216,30,2,2,,1,2,1,2,1,1,251,1,999,0,1,93.994,-36.4,5191,1
217,30,2,2,,1,2,2,2,1,1,408,1,999,0,1,93.994,-36.4,5191,1
218,50,9,1,5,,1,1,2,1,1,287,1,999,0,1,93.994,-36.4,5191,1
219,40,4,1,2,1,1,1,2,1,1,322,3,999,0,1,93.994,-36.4,5191,1
220,35,1,1,2,1,2,1,2,1,1,216,2,999,0,1,93.994,-36.4,5191,1
221,43,3,1,,,1,1,2,1,1,366,2,999,0,1,93.994,-36.4,5191,1
222,36,4,2,6,,2,1,2,1,1,210,1,999,0,1,93.994,-36.4,5191,1
223,46,3,1,5,,2,1,2,1,1,288,1,999,0,1,93.994,-36.4,5191,1
224,40,3,1,3,1,1,1,2,1,1,168,1,999,0,1,93.994,-36.4,5191,1
225,58,6,1,1,1,1,1,2,1,1,132,1,999,0,1,93.994,-36.4,5191,1
226,42,3,1,1,1,1,1,2,1,1,64,2,999,0,1,93.994,-36.4,5191,1
227,35,1,2,1,1,1,1,2,1,1,209,2,999,0,1,93.994,-36.4,5191,1
228,43,6,1,5,,1,1,2,1,1,410,3,999,0,1,93.994,-36.4,5191,1
229,45,2,1,5,1,2,2,2,1,1,177,1,999,0,1,93.994,-36.4,5191,1
230,39,1,1,4,1,2,1,2,1,1,580,2,999,0,1,93.994,-36.4,5191,1
231,50,4,3,4,1,2,1,2,1,1,165,1,999,0,1,93.994,-36.4,5191,1
232,32,5,3,5,,2,1,2,1,1,127,2,999,0,1,93.994,-36.4,5191,1
233,39,1,1,2,,1,1,2,1,1,357,1,999,0,1,93.994,-36.4,5191,1
234,52,8,1,1,,1,1,2,1,1,175,1,999,0,1,93.994,-36.4,5191,1
235,44,1,1,4,1,2,1,2,1,1,300,1,999,0,1,93.994,-36.4,5191,1
236,56,2,1,5,1,1,1,2,1,1,136,1,999,0,1,93.994,-36.4,5191,1
237,48,1,1,2,1,1,1,2,1,1,125,2,999,0,1,93.994,-36.4,5191,1
238,33,4,1,2,,1,2,2,1,1,189,2,999,0,1,93.994,-36.4,5191,1
239,43,5,1,1,,1,2,2,1,1,213,3,999,0,1,93.994,-36.4,5191,1
240,57,6,1,2,1,1,1,2,1,1,238,2,999,0,1,93.994,-36.4,5191,1
241,36,3,2,4,1,1,1,2,1,1,124,1,999,0,1,93.994,-36.4,5191,1
242,34,5,1,1,1,2,1,2,1,1,18,1,999,0,1,93.994,-36.4,5191,1
243,34,4,2,3,1,1,1,2,1,1,730,2,999,0,1,93.994,-36.4,5191,1
244,30,3,1,1,,1,1,2,1,1,40,1,999,0,1,93.994,-36.4,5191,1
245,33,4,3,,1,1,1,2,1,1,181,2,999,0,1,93.994,-36.4,5191,1
246,32,3,2,4,1,1,1,2,1,1,79,1,999,0,1,93.994,-36.4,5191,1
247,36,3,2,2,1,2,1,2,1,1,142,2,999,0,1,93.994,-36.4,5191,1
248,36,2,2,2,1,1,2,2,1,1,389,1,999,0,1,93.994,-36.4,5191,1
249,33,4,2,2,1,1,1,2,1,1,702,1,999,0,1,93.994,-36.4,5191,1
250,40,3,3,4,1,1,1,2,1,1,151,1,999,0,1,93.994,-36.4,5191,1
251,41,2,1,5,1,2,1,2,1,1,211,1,999,0,1,93.994,-36.4,5191,1
252,51,4,1,6,1,2,1,2,1,1,117,1,999,0,1,93.994,-36.4,5191,1
253,36,3,1,4,1,2,1,2,1,1,232,3,999,0,1,93.994,-36.4,5191,1
254,28,4,1,,1,1,1,2,1,1,408,2,999,0,1,93.994,-36.4,5191,1
255,53,4,1,2,1,2,2,2,1,1,370,3,999,0,1,93.994,-36.4,5191,1
256,58,2,1,3,,2,1,2,1,1,179,2,999,0,1,93.994,-36.4,5191,1
257,45,5,1,3,1,1,2,2,1,1,46,1,999,0,1,93.994,-36.4,5191,1
258,43,3,1,,1,2,1,2,1,1,200,1,999,0,1,93.994,-36.4,5191,1
259,33,1,1,2,1,1,2,2,1,1,50,1,999,0,1,93.994,-36.4,5191,1
260,33,1,1,2,1,1,2,2,1,1,181,1,999,0,1,93.994,-36.4,5191,1
261,27,2,2,6,1,,,2,1,1,119,1,999,0,1,93.994,-36.4,5191,1
262,42,3,1,2,1,1,1,2,1,1,361,1,999,0,1,93.994,-36.4,5191,1
263,43,1,3,3,1,1,1,2,1,1,73,3,999,0,1,93.994,-36.4,5191,1
264,42,1,1,1,1,1,1,2,1,1,67,2,999,0,1,93.994,-36.4,5191,1
265,27,2,2,6,1,1,1,2,1,1,350,1,999,0,1,93.994,-36.4,5191,1
266,34,8,2,1,1,2,1,2,1,1,150,2,999,0,1,93.994,-36.4,5191,1
267,31,11,2,1,,1,1,2,1,1,332,2,999,0,1,93.994,-36.4,5191,1
268,54,5,3,1,1,1,1,2,1,1,611,2,999,0,1,93.994,-36.4,5191,1
269,40,8,1,5,,1,1,2,1,1,58,3,999,0,1,93.994,-36.4,5191,1
270,52,10,1,2,,2,1,2,1,1,151,1,999,0,1,93.994,-36.4,5191,1
271,47,5,3,1,1,1,1,2,1,1,89,2,999,0,1,93.994,-36.4,5191,1
272,49,9,1,3,,1,1,2,1,1,152,1,999,0,1,93.994,-36.4,5191,1
273,32,1,2,2,1,1,1,2,1,1,611,2,999,0,1,93.994,-36.4,5191,1
274,49,9,2,2,,2,2,2,1,1,110,2,999,0,1,93.994,-36.4,5191,1
275,50,2,1,3,,1,1,2,1,1,463,1,999,0,1,93.994,-36.4,5191,1
276,34,4,1,2,1,1,1,2,1,1,962,1,999,0,1,93.994,-36.4,5191,1
277,55,2,1,5,,1,1,2,1,1,102,2,999,0,1,93.994,-36.4,5191,1
278,47,3,2,3,1,1,1,2,1,1,10,4,999,0,1,93.994,-36.4,5191,1
279,51,6,1,4,1,1,1,2,1,1,118,3,999,0,1,93.994,-36.4,5191,1
280,47,2,1,6,1,1,1,2,1,1,92,2,999,0,1,93.994,-36.4,5191,1
281,56,3,1,5,1,2,1,2,1,1,143,3,999,0,1,93.994,-36.4,5191,1
282,53,1,1,3,1,1,1,2,1,1,189,3,999,0,1,93.994,-36.4,5191,1
283,36,2,1,3,1,2,1,2,1,1,75,2,999,0,1,93.994,-36.4,5191,1
284,42,2,3,3,1,2,1,2,1,1,189,2,999,0,1,93.994,-36.4,5191,1
285,44,2,3,6,1,1,1,2,1,1,55,2,999,0,1,93.994,-36.4,5191,1
286,39,9,1,3,1,2,1,2,1,1,935,3,999,0,1,93.994,-36.4,5191,2
287,37,1,2,2,1,2,2,2,1,1,56,2,999,0,1,93.994,-36.4,5191,1
288,60,2,1,,,2,1,2,1,1,5,2,999,0,1,93.994,-36.4,5191,1
289,36,4,1,2,1,1,1,2,1,1,225,2,999,0,1,93.994,-36.4,5191,1
290,42,5,3,1,1,2,1,2,1,1,125,2,999,0,1,93.994,-36.4,5191,1
291,31,1,1,2,1,2,2,2,1,1,286,2,999,0,1,93.994,-36.4,5191,1
292,53,3,3,4,,1,2,2,1,1,206,2,999,0,1,93.994,-36.4,5191,1
293,45,2,1,5,1,2,1,2,1,1,164,2,999,0,1,93.994,-36.4,5191,1
294,37,3,2,4,1,2,1,2,1,1,98,2,999,0,1,93.994,-36.4,5191,1
295,47,8,1,4,1,1,1,2,1,1,446,2,999,0,1,93.994,-36.4,5191,1
296,49,2,3,2,1,1,2,2,1,1,742,2,999,0,1,93.994,-36.4,5191,1
297,36,1,1,1,1,2,1,2,1,1,120,2,999,0,1,93.994,-36.4,5191,1
298,35,4,3,2,1,1,1,2,1,1,122,3,999,0,1,93.994,-36.4,5191,1
299,38,,1,,,1,1,2,1,1,362,4,999,0,1,93.994,-36.4,5191,1
300,38,4,2,2,,1,1,2,1,1,357,2,999,0,1,93.994,-36.4,5191,1
