idade,qtd_contatos_campanha,qtd_contatos_total,indice_precos_consumidor,indice_confianca_consumidor,campanha_anterior_inteiros,educacao_inteiros,emprestimo_moradia_inteiros,inadimplente_inteiros,emprestimo_pessoal_inteiros,meio_contato_inteiros,mes_inteiros,dia_da_semana_inteiros,profissao_inteiros,estado_civil_inteiros,resultado
31,1,0,93.994,-36.4,1,1,1,0,1,1,5,2,10,1,0
56,2,0,93.994,-36.4,1,3,1,0,0,1,5,2,1,0,0
37,1,0,93.994,-36.4,1,4,1,0,1,1,5,2,2,0,0
37,1,0,93.994,-36.4,1,4,1,0,0,1,5,2,2,0,0
52,1,0,93.994,-36.4,1,6,0,0,0,1,5,2,7,0,0
39,1,0,93.994,-36.4,1,6,0,0,0,1,5,2,7,1,0
34,2,0,93.994,-36.4,1,2,1,0,0,1,5,2,9,0,0
43,1,0,93.994,-36.4,1,6,1,0,0,1,5,2,3,2,0
39,1,0,93.994,-36.4,1,6,1,0,0,1,5,2,7,0,0
53,1,0,93.994,-36.4,1,3,1,0,0,1,5,2,2,0,0
35,1,0,93.994,-36.4,1,2,1,0,0,1,5,2,0,2,0
51,1,0,93.994,-36.4,1,3,1,0,0,1,5,2,2,0,0
36,1,0,93.994,-36.4,1,5,1,0,1,1,5,2,2,0,0
43,2,0,93.994,-36.4,1,1,1,0,0,1,5,2,10,2,0
59,2,0,93.994,-36.4,1,2,0,0,0,1,5,2,9,0,0
24,2,0,93.994,-36.4,1,6,1,0,0,1,5,2,7,2,0
37,1,0,93.994,-36.4,1,4,0,0,0,1,5,2,5,0,0
38,1,0,93.994,-36.4,1,2,1,0,1,1,5,2,9,0,0
54,2,0,93.994,-36.4,1,6,1,0,0,1,5,2,7,1,0
45,1,0,93.994,-36.4,1,6,1,0,1,1,5,2,10,0,0
43,3,0,93.994,-36.4,1,2,0,0,0,1,5,2,9,0,0
46,2,0,93.994,-36.4,1,5,0,0,0,1,5,2,7,0,0
44,1,0,93.994,-36.4,1,2,1,0,1,1,5,2,9,0,0
51,2,0,93.994,-36.4,1,4,0,0,0,1,5,2,0,2,0
28,1,0,93.994,-36.4,1,2,1,0,0,1,5,2,9,0,0
37,1,0,93.994,-36.4,1,5,0,0,0,1,5,2,2,0,0
34,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,10,0,0
42,2,0,93.994,-36.4,1,5,1,0,1,1,5,2,2,0,1
36,3,0,93.994,-36.4,1,6,1,0,0,1,5,2,0,0,0
57,1,0,93.994,-36.4,1,6,0,0,0,1,5,2,7,0,0
34,1,0,93.994,-36.4,1,6,1,0,0,1,5,2,0,0,0
41,1,0,93.994,-36.4,1,1,0,0,0,1,5,2,10,0,0
38,2,0,93.994,-36.4,1,5,1,0,0,1,5,2,2,2,0
45,2,0,93.994,-36.4,1,6,0,0,0,1,5,2,7,1,0
42,2,0,93.994,-36.4,1,6,0,0,0,1,5,2,10,0,0
48,1,0,93.994,-36.4,1,3,1,0,0,1,5,2,2,0,0
43,1,0,93.994,-36.4,1,4,1,0,0,1,5,2,2,0,0
33,2,0,93.994,-36.4,1,2,0,0,0,1,5,2,9,0,0
32,1,0,93.994,-36.4,1,4,0,0,0,1,5,2,9,2,0
39,2,0,93.994,-36.4,1,2,1,0,0,1,5,2,2,0,0
44,1,0,93.994,-36.4,1,5,1,0,0,1,5,2,2,0,0
35,1,0,93.994,-36.4,1,1,0,0,0,1,5,2,3,0,0
36,1,0,93.994,-36.4,1,3,0,0,0,1,5,2,9,2,0
36,1,0,93.994,-36.4,1,5,1,0,0,1,5,2,6,2,0
55,1,0,93.994,-36.4,1,6,0,0,0,1,5,2,4,1,0
59,1,0,93.994,-36.4,1,6,0,0,0,1,5,2,0,0,0
40,3,0,93.994,-36.4,1,2,0,0,0,1,5,2,9,0,0
35,2,0,93.994,-36.4,1,2,1,0,0,1,5,2,0,0,0
40,1,0,93.994,-36.4,1,5,0,0,0,1,5,2,10,0,0
58,1,0,93.994,-36.4,1,6,0,0,0,1,5,2,1,0,0
42,2,0,93.994,-36.4,1,6,0,0,0,1,5,2,10,0,0
35,2,0,93.994,-36.4,1,6,0,0,0,1,5,2,0,2,0
45,1,0,93.994,-36.4,1,3,1,0,1,1,5,2,2,0,0
39,2,0,93.994,-36.4,1,1,1,0,0,1,5,2,0,0,0
50,1,0,93.994,-36.4,1,1,1,0,0,1,5,2,9,1,0
44,1,0,93.994,-36.4,1,1,1,0,0,1,5,2,0,0,0
56,1,0,93.994,-36.4,1,3,0,0,0,1,5,2,2,0,0
48,2,0,93.994,-36.4,1,2,0,0,0,1,5,2,0,0,0
57,2,0,93.994,-36.4,1,2,0,0,0,1,5,2,1,0,0
36,1,0,93.994,-36.4,1,1,0,0,0,1,5,2,10,2,0
34,1,0,93.994,-36.4,1,6,1,0,0,1,5,2,7,0,0
34,2,0,93.994,-36.4,1,5,0,0,0,1,5,2,9,2,0
32,1,0,93.994,-36.4,1,1,0,0,0,1,5,2,10,2,0
36,2,0,93.994,-36.4,1,2,1,0,0,1,5,2,10,2,0
36,1,0,93.994,-36.4,1,2,0,0,1,1,5,2,2,2,0
33,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,9,2,0
40,1,0,93.994,-36.4,1,1,0,0,0,1,5,2,10,1,0
41,1,0,93.994,-36.4,1,3,1,0,0,1,5,2,2,0,0
51,1,0,93.994,-36.4,1,4,1,0,0,1,5,2,9,0,0
36,3,0,93.994,-36.4,1,1,1,0,0,1,5,2,10,0,0
53,3,0,93.994,-36.4,1,2,1,0,1,1,5,2,9,0,0
45,1,0,93.994,-36.4,1,5,0,0,1,1,5,2,7,0,0
33,1,0,93.994,-36.4,1,2,0,0,1,1,5,2,0,0,0
33,1,0,93.994,-36.4,1,2,0,0,1,1,5,2,0,0,0
42,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,10,0,0
43,3,0,93.994,-36.4,1,5,0,0,0,1,5,2,0,1,0
42,2,0,93.994,-36.4,1,6,0,0,0,1,5,2,0,0,0
27,1,0,93.994,-36.4,1,4,0,0,0,1,5,2,2,2,0
34,2,0,93.994,-36.4,1,6,1,0,0,1,5,2,8,2,0
54,2,0,93.994,-36.4,1,6,0,0,0,1,5,2,7,1,0
47,2,0,93.994,-36.4,1,6,0,0,0,1,5,2,7,1,0
32,2,0,93.994,-36.4,1,2,0,0,0,1,5,2,0,2,0
34,1,0,93.994,-36.4,1,2,0,0,0,1,5,2,9,0,0
47,4,0,93.994,-36.4,1,5,0,0,0,1,5,2,10,2,0
51,3,0,93.994,-36.4,1,1,0,0,0,1,5,2,1,0,0
47,2,0,93.994,-36.4,1,4,0,0,0,1,5,2,2,0,0
56,3,0,93.994,-36.4,1,3,1,0,0,1,5,2,10,0,0
53,3,0,93.994,-36.4,1,5,0,0,0,1,5,2,0,0,0
36,2,0,93.994,-36.4,1,5,1,0,0,1,5,2,2,0,0
42,2,0,93.994,-36.4,1,5,1,0,0,1,5,2,2,1,0
44,2,0,93.994,-36.4,1,4,0,0,0,1,5,2,2,1,0
39,3,0,93.994,-36.4,1,5,1,0,0,1,5,2,4,0,1
37,2,0,93.994,-36.4,1,2,1,0,1,1,5,2,0,2,0
36,2,0,93.994,-36.4,1,2,0,0,0,1,5,2,9,0,0
42,2,0,93.994,-36.4,1,6,1,0,0,1,5,2,7,1,0
31,2,0,93.994,-36.4,1,2,1,0,1,1,5,2,0,0,0
45,2,0,93.994,-36.4,1,3,1,0,0,1,5,2,2,0,0
37,2,0,93.994,-36.4,1,1,1,0,0,1,5,2,10,2,0
47,2,0,93.994,-36.4,1,1,0,0,0,1,5,2,8,0,0
49,2,0,93.994,-36.4,1,2,0,0,1,1,5,2,2,1,0
36,2,0,93.994,-36.4,1,6,1,0,0,1,5,2,0,0,0
35,3,0,93.994,-36.4,1,2,0,0,0,1,5,2,9,1,0
42,2,0,93.994,-36.4,1,2,1,0,0,1,5,2,0,0,0
57,2,0,93.994,-36.4,1,3,1,0,1,1,5,2,4,1,0
42,3,0,93.994,-36.4,1,6,1,0,0,1,5,2,0,0,0
41,2,0,93.994,-36.4,1,3,1,0,0,1,5,2,2,0,0
54,3,0,93.994,-36.4,1,6,1,0,0,1,5,2,7,1,0
27,2,0,93.994,-36.4,1,6,0,0,0,1,5,2,0,2,0
36,2,0,93.994,-36.4,1,2,0,0,0,1,5,2,0,0,0
33,2,0,93.994,-36.4,1,2,0,0,0,1,5,2,0,1,0
56,2,0,93.994,-36.4,1,4,0,0,0,1,5,2,1,0,0
42,2,0,93.994,-36.4,1,5,0,0,0,1,5,2,2,0,0
43,2,0,93.994,-36.4,1,2,1,0,0,1,5,2,9,0,0
54,3,0,93.994,-36.4,1,5,1,0,0,1,5,2,7,2,0
53,2,0,93.994,-36.4,1,4,1,0,1,1,5,2,0,2,0
54,2,0,93.994,-36.4,1,1,1,0,1,1,5,2,10,0,0
40,4,0,93.994,-36.4,1,1,0,0,0,1,5,2,4,2,0
26,3,0,93.994,-36.4,1,6,1,0,0,1,5,2,0,2,0
33,3,0,93.994,-36.4,1,2,0,0,0,1,5,2,0,0,0
36,3,0,93.994,-36.4,1,2,0,0,0,1,5,2,0,0,0
29,2,0,93.994,-36.4,1,2,1,0,0,1,5,2,9,2,0
36,2,0,93.994,-36.4,1,5,1,0,0,1,5,2,2,0,0
35,5,0,93.994,-36.4,1,2,1,0,0,1,5,2,7,0,0
50,5,0,93.994,-36.4,1,6,0,0,1,1,5,2,8,2,0
49,4,0,93.994,-36.4,1,2,1,0,0,1,5,2,5,0,0
36,3,0,93.994,-36.4,1,2,1,0,1,1,5,2,2,2,0
32,3,0,93.994,-36.4,1,2,1,0,0,1,5,2,9,2,0
49,3,0,93.994,-36.4,1,5,0,0,0,1,5,2,0,0,0
58,2,0,93.994,-36.4,1,3,1,0,0,1,5,2,2,1,0
52,2,0,93.994,-36.4,1,2,1,0,0,1,5,2,10,0,0
50,2,0,93.994,-36.4,1,1,0,0,0,1,5,2,9,1,0
33,3,0,93.994,-36.4,1,6,1,0,0,1,5,2,5,0,0
57,2,0,93.994,-36.4,1,3,0,0,0,1,5,2,2,0,0
55,2,0,93.994,-36.4,1,1,0,0,0,1,5,2,10,0,0
38,2,0,93.994,-36.4,1,6,0,0,0,1,5,2,7,0,0
38,3,0,93.994,-36.4,1,2,1,0,0,1,5,2,9,0,0
53,2,0,93.994,-36.4,1,6,1,0,0,1,5,2,0,0,0
43,4,0,93.994,-36.4,1,6,0,0,0,1,5,2,3,2,0
36,2,0,93.994,-36.4,1,2,0,0,0,1,5,2,2,2,0
32,2,0,93.994,-36.4,1,5,0,0,0,1,5,2,2,0,0
33,3,0,93.994,-36.4,1,3,0,0,0,1,5,2,9,0,0
58,2,0,93.994,-36.4,1,3,1,0,0,1,5,2,5,0,0
57,2,0,93.994,-36.4,1,6,1,0,0,1,5,4,7,0,0
45,3,0,93.994,-36.4,1,2,1,0,0,1,5,4,10,0,0
46,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,0,0,0
36,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,10,0,0
41,1,0,93.994,-36.4,1,2,1,0,0,1,5,4,8,0,0
57,1,0,93.994,-36.4,1,5,0,0,0,1,5,4,0,1,0
56,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,7,1,0
37,1,0,93.994,-36.4,1,5,0,0,0,1,5,4,2,0,0
37,1,0,93.994,-36.4,1,5,0,0,1,1,5,4,2,0,0
46,1,0,93.994,-36.4,1,2,1,0,0,1,5,4,0,2,0
22,1,0,93.994,-36.4,1,5,1,0,0,1,5,4,2,2,0
43,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,9,0,0
41,1,0,93.994,-36.4,1,4,1,0,0,1,5,4,10,0,0
38,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,0,2,0
33,1,0,93.994,-36.4,1,5,0,0,0,1,5,4,0,0,0
49,1,0,93.994,-36.4,1,6,1,0,1,1,5,4,0,0,0
33,1,0,93.994,-36.4,1,5,1,0,0,1,5,4,0,0,0
34,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,7,2,0
41,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,8,0,0
44,1,0,93.994,-36.4,1,2,1,0,0,1,5,4,9,0,1
35,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,0,0,0
42,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,0,0,0
45,1,0,93.994,-36.4,1,5,0,0,0,1,5,4,0,0,0
36,2,0,93.994,-36.4,1,1,0,0,0,1,5,4,10,0,0
29,1,0,93.994,-36.4,1,3,0,0,0,1,5,4,2,1,0
41,2,0,93.994,-36.4,1,6,1,0,1,1,5,4,8,0,0
52,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,9,2,0
42,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,5,0,0
52,1,0,93.994,-36.4,1,4,0,0,0,1,5,4,9,1,0
39,2,0,93.994,-36.4,1,2,1,0,0,1,5,4,0,0,0
36,2,0,93.994,-36.4,1,2,0,0,1,1,5,4,9,0,0
41,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,0,0,0
55,1,0,93.994,-36.4,1,3,0,0,1,1,5,4,10,0,0
30,1,0,93.994,-36.4,1,5,0,0,0,1,5,4,2,0,0
27,1,0,93.994,-36.4,1,2,1,0,0,1,5,4,9,0,0
34,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,10,2,0
43,1,0,93.994,-36.4,1,3,0,0,0,1,5,4,5,0,0
49,2,0,93.994,-36.4,1,5,0,0,0,1,5,4,2,0,0
58,1,0,93.994,-36.4,1,4,0,0,0,1,5,4,7,0,0
43,1,0,93.994,-36.4,1,1,1,0,0,1,5,4,10,0,0
43,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,8,1,0
30,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,8,2,0
27,1,0,93.994,-36.4,1,1,1,0,1,1,5,4,9,2,0
37,2,0,93.994,-36.4,1,1,1,0,0,1,5,4,10,0,0
46,1,0,93.994,-36.4,1,5,1,0,0,1,5,4,4,0,0
35,1,0,93.994,-36.4,1,1,0,0,0,1,5,4,2,0,0
47,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,0,1,0
26,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,4,0,0
45,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,7,0,0
34,1,0,93.994,-36.4,1,5,0,0,0,1,5,4,0,0,0
42,1,0,93.994,-36.4,1,1,0,0,0,1,5,4,10,0,1
38,1,0,93.994,-36.4,1,3,0,0,1,1,5,4,2,0,0
60,2,0,93.994,-36.4,1,6,0,0,0,1,5,4,7,0,0
48,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,0,0,0
47,1,0,93.994,-36.4,1,1,1,0,0,1,5,4,10,0,0
40,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,0,0,0
48,1,0,93.994,-36.4,1,3,1,0,0,1,5,4,3,2,0
54,2,0,93.994,-36.4,1,3,0,0,0,1,5,4,4,0,0
40,1,0,93.994,-36.4,1,4,0,0,1,1,5,4,2,0,0
42,4,0,93.994,-36.4,1,2,0,0,0,1,5,4,10,1,0
52,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,8,0,0
31,1,0,93.994,-36.4,1,5,1,0,0,1,5,4,2,2,0
32,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,9,0,0
44,1,0,93.994,-36.4,1,2,1,0,1,1,5,4,0,0,0
52,1,0,93.994,-36.4,1,3,1,0,0,1,5,4,0,0,0
42,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,7,0,1
43,1,0,93.994,-36.4,1,1,1,0,0,1,5,4,7,0,0
31,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,0,1,0
57,2,0,93.994,-36.4,1,3,0,0,0,1,5,4,2,1,0
57,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,1,0,0
38,1,0,93.994,-36.4,1,2,1,0,0,1,5,4,9,0,0
42,1,0,93.994,-36.4,1,3,0,0,0,1,5,4,1,0,0
35,1,0,93.994,-36.4,1,1,1,0,0,1,5,4,10,0,0
34,2,0,93.994,-36.4,1,6,1,0,0,1,5,4,10,0,0
41,2,0,93.994,-36.4,1,5,0,0,0,1,5,4,9,0,0
38,1,0,93.994,-36.4,1,1,1,0,0,1,5,4,10,0,0
53,2,0,93.994,-36.4,1,1,1,0,0,1,5,4,0,0,0
33,1,0,93.994,-36.4,1,5,0,0,0,1,5,4,0,0,0
45,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,5,0,0
40,3,0,93.994,-36.4,1,6,0,0,0,1,5,4,10,2,0
33,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,10,0,0
48,1,0,93.994,-36.4,1,3,0,0,0,1,5,4,2,0,0
43,2,0,93.994,-36.4,1,2,0,0,0,1,5,4,5,0,0
37,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,7,0,0
50,1,0,93.994,-36.4,1,5,1,0,1,1,5,4,9,0,0
59,1,0,93.994,-36.4,1,2,1,0,0,1,5,4,5,0,0
52,2,0,93.994,-36.4,1,3,0,0,0,1,5,4,2,0,0
38,1,0,93.994,-36.4,1,5,0,0,0,1,5,4,2,0,0
39,1,0,93.994,-36.4,1,4,1,0,0,1,5,4,2,0,0
39,1,0,93.994,-36.4,1,4,0,0,0,1,5,4,2,0,0
38,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,0,0,0
30,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,9,2,0
38,2,0,93.994,-36.4,1,2,1,0,1,1,5,4,0,1,0
39,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,10,1,0
44,2,0,93.994,-36.4,1,2,0,0,0,1,5,4,0,0,0
36,2,0,93.994,-36.4,1,2,0,0,0,1,5,4,0,0,0
41,1,0,93.994,-36.4,1,4,0,0,0,1,5,4,2,0,0
35,2,0,93.994,-36.4,1,5,0,0,0,1,5,4,2,0,0
41,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,10,0,0
35,1,0,93.994,-36.4,1,2,1,0,1,1,5,4,0,2,0
33,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,8,0,0
32,2,0,93.994,-36.4,1,6,1,0,0,1,5,4,5,2,0
30,1,0,93.994,-36.4,1,2,1,0,0,1,5,4,8,2,0
43,2,0,93.994,-36.4,1,1,1,0,1,1,5,4,0,0,0
46,2,0,93.994,-36.4,1,6,0,0,0,1,5,4,0,0,0
35,2,0,93.994,-36.4,1,2,0,0,1,1,5,4,0,1,0
34,1,0,93.994,-36.4,1,6,1,0,1,1,5,4,0,2,0
39,2,0,93.994,-36.4,1,6,0,0,0,1,5,4,0,2,0
42,2,0,93.994,-36.4,1,4,0,0,0,1,5,4,5,0,0
57,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,1,0,0
40,1,0,93.994,-36.4,1,3,0,0,1,1,5,4,10,0,0
42,3,0,93.994,-36.4,1,2,0,0,1,1,5,4,2,0,1
40,1,0,93.994,-36.4,1,3,0,0,0,1,5,4,10,0,0
41,1,0,93.994,-36.4,1,3,0,0,0,1,5,4,2,0,0
41,1,0,93.994,-36.4,1,3,1,0,1,1,5,4,2,0,0
35,1,0,93.994,-36.4,1,4,1,0,0,1,5,4,0,0,0
23,3,0,93.994,-36.4,1,6,0,0,0,1,5,4,0,2,0
45,2,0,93.994,-36.4,1,2,0,0,0,1,5,4,4,0,0
42,3,0,93.994,-36.4,1,2,0,0,0,1,5,4,0,0,0
41,4,0,93.994,-36.4,1,2,0,0,0,1,5,4,0,1,0
46,2,0,93.994,-36.4,1,6,0,0,0,1,5,4,7,0,0
30,2,0,93.994,-36.4,1,3,0,0,0,1,5,4,2,0,0
24,2,0,93.994,-36.4,1,1,0,0,1,1,5,4,10,2,0
34,2,0,93.994,-36.4,1,6,0,0,1,1,5,4,0,2,0
59,2,0,93.994,-36.4,1,3,1,0,0,1,5,4,2,0,0
32,3,0,93.994,-36.4,1,1,0,0,0,1,5,4,10,0,0
33,2,0,93.994,-36.4,1,1,1,0,0,1,5,4,10,0,0
32,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,0,0,0
46,2,0,93.994,-36.4,1,6,0,0,0,1,5,4,7,0,0
57,4,0,93.994,-36.4,1,1,1,0,0,1,5,4,10,0,0
42,1,0,93.994,-36.4,1,5,0,0,0,1,5,4,10,0,0
48,2,0,93.994,-36.4,1,1,1,0,0,1,5,4,0,0,0
34,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,9,0,0
32,1,0,93.994,-36.4,1,6,1,0,1,1,5,4,0,2,0
48,2,0,93.994,-36.4,1,5,0,0,0,1,5,4,2,0,0
47,1,0,93.994,-36.4,1,5,0,0,0,1,5,4,2,0,0
32,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,0,2,0
32,1,0,93.994,-36.4,1,6,0,0,0,1,5,4,0,2,0
36,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,9,0,0
50,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,9,0,0
46,2,0,93.994,-36.4,1,4,1,0,0,1,5,4,2,0,0
41,1,0,93.994,-36.4,1,2,0,0,0,1,5,4,0,0,0
43,1,0,93.994,-36.4,1,3,0,0,0,1,5,4,2,2,0
51,3,0,93.994,-36.4,1,6,1,0,0,1,5,4,7,0,0
38,1,0,93.994,-36.4,1,6,1,0,0,1,5,4,0,0,0
41,2,0,93.994,-36.4,1,4,1,0,0,1,5,4,10,0,0
52,2,0,93.994,-36.4,1,3,0,0,0,1,5,4,2,0,0
37,2,0,93.994,-36.4,1,1,1,0,0,1,5,4,10,0,0
41,3,0,93.994,-36.4,1,5,1,0,0,1,5,4,0,0,0
46,1,0,93.994,-36.4,1,6,1,0,1,1,5,4,0,1,0
47,4,0,93.994,-36.4,1,1,0,0,0,1,5,4,10,0,0
35,3,0,93.994,-36.4,1,1,0,0,0,1,5,4,10,0,0
46,1,0,93.994,-36.4,1,5,1,0,0,1,5,4,2,0,0
30,1,0,93.994,-36.4,1,1,0,0,0,1,5,4,10,0,0
35,1,0,93.994,-36.4,1,3,0,0,0,1,5,4,9,2,0
40,2,0,93.994,-36.4,1,1,0,0,0,1,5,4,10,0,0
